strain	virus	date	region	country	division	location	pangolin_lineage	GISAID_clade
hCoV-19/Colombia/VAC-UV-20029991/2021	ncov	2021-12-27	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-94531583/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-31175171/2022	ncov	2022-01-10	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030538/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030508/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Puerto Tejada	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030516/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030470/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Jamundi	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030475/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Buga	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030483/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-UV-20030524/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030731/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030754/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.14	GRA
hCoV-19/Colombia/VAC-UV-20030835/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030627/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-UV-20030644/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030665/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030724/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Jamundi	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030546/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030594/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030600/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Yumbo	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030855/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030859/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030895/2022	ncov	2022-01-20	South America	Colombia	Valle del Cauca	Yumbo	BA.1	GRA
hCoV-19/Colombia/VAC-UV-20030484/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030729/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030743/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030760/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030773/2022	ncov	2022-01-14	South America	Colombia	Valle del Cauca	Cali	BA.1.20	GRA
hCoV-19/Colombia/VAC-UV-20030704/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-UV-20030713/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030653/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030683/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030691/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030579/2022	ncov	2022-01-10	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030595/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030560/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-38603619/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-48570556/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-29362049/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-PB2135815/2022	ncov	2022-01-04	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-1118298921/2022	ncov	2022-01-08	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-IDIME-1109561680/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-29653354/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1116372012/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-66980632/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-14568250/2022	ncov	2022-01-13	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1107099057/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-16844593/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1113635493/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-19142933/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSN-1113674634/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Palmira	BA.1.15	GRA
hCoV-19/Colombia/VAC-CSN-31964322/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSN-31982987/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-CSN-66904105/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-CSN-1005896883/2022	ncov	2022-01-08	South America	Colombia	Valle del Cauca	Yumbo	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSN-16367504/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSN-94412423/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSN-31470773/2022	ncov	2022-01-08	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-1107066511/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-1113648087/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-1130670640/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-29105849/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	AY.113	GK
hCoV-19/Colombia/VAC-SDM-1144149350/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-14607531/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-1143842521/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-31571810/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-1061224053/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-66861649/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030237/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030192/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-31640632/2021	ncov	2021-12-30	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SDM-16717555/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-10773879/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-16635775/2022	ncov	2022-01-10	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030869/2022	ncov	2022-01-19	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030612/2022	ncov	2022-01-11	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-UV-20030580/2022	ncov	2022-01-10	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV_31166/2022	ncov	2022-02-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/COV_24770/2021	ncov	2021-05-19	South America	Colombia	Valle del Cauca	Cali	P.1	GR
hCoV-19/Colombia/COV_24547/2021	ncov	2021-05-06	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/COV_23933/2021	ncov	2021-04-14	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/COV_25875/2021	ncov	2021-06-29	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/COV_25796/2021	ncov	2021-06-29	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/VAC-CSB-1113651029/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-31922410/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca		BA.1.15.1	GRA
hCoV-19/Colombia/VAC-SDM-94503036/2022	ncov	2022-01-07	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-FY190470/2022	ncov	2022-02-17	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-SYNLAB-CE822614/2022	ncov	2022-02-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-31522/2022	ncov	2022-03-14	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-UV-31859/2022	ncov	2022-04-19	South America	Colombia	Valle del Cauca	Cali	BA.2	GRA
hCoV-19/Colombia/VAC-UV_31185/2022	ncov	2022-02-09	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-I-34395097/2021	ncov	2021-08-28	South America	Colombia	Valle del Cauca	Cali	Unassigned	GH
hCoV-19/Colombia/VAC-CSB-1144163834/2022	ncov	2022-01-01	South America	Colombia	Valle del Cauca	Cali	Unassigned	GRA
hCoV-19/Colombia/VAC-CIGQS-8180581/2021	ncov	2021-08-18	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21081401622/2021	ncov	2021-08-14	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-8038042/2021	ncov	2021-08-04	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21082601971/2021	ncov	2021-08-26	South America	Colombia	Valle del Cauca	CALI	AY.43	GK
hCoV-19/Colombia/VAC-CS-21082702471/2021	ncov	2021-08-28	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-248010677/2021	ncov	2021-08-04	South America	Colombia	Valle del Cauca	CALI	AY.3.1	GK
hCoV-19/Colombia/VAC-SAD-205005395/2021	ncov	2021-08-02	South America	Colombia	Valle del Cauca	PALMIRA	B.1.621	GH
hCoV-19/Colombia/RIS-SAD-173026289/2021	ncov	2021-07-29	South America	Colombia	Risaralda	GUATICA	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7270650/2021	ncov	2021-07-28	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/QUI-SAD-177080339/2021	ncov	2021-07-30	South America	Colombia	Quindio	Armenia	B.1.621	GH
hCoV-19/Colombia/CAL-SAD-131099244/2021	ncov	2021-07-30	South America	Colombia	Caldas	PENSILVANIA	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-205005411/2021	ncov	2021-08-02	South America	Colombia	Valle del Cauca	PALMIRA	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7230841/2021	ncov	2021-07-24	South America	Colombia	Valle del Cauca	CALI	P.1	GR
hCoV-19/Colombia/QUI-SAD-177080426/2021	ncov	2021-07-31	South America	Colombia	Quindio	Armenia	B.1.621	GH
hCoV-19/Colombia/VAC-CIGQS-7190333/2021	ncov	2021-07-16	South America	Colombia	Valle del Cauca	CALI	C.37	GR
hCoV-19/Colombia/ANT-CS-21081202080/2021	ncov	2021-08-11	South America	Colombia	Antioquia	MEDELLIN	AY.26	GK
hCoV-19/Colombia/VAC-SAD-134240462/2021	ncov	2021-07-31	South America	Colombia	Valle del Cauca		B.1.621	GH
hCoV-19/Colombia/ANT-CS-21081701862/2021	ncov	2021-08-18	South America	Colombia	Antioquia	MEDELLIN	AY.25.1	GK
hCoV-19/Colombia/ANT-CS-21081701851/2021	ncov	2021-08-17	South America	Colombia	Antioquia	MEDELLIN	AY.25.1	GK
hCoV-19/Colombia/CAL-CS-21080902567/2021	ncov	2021-08-10	South America	Colombia	Caldas	MANIZALES	AY.20	GK
hCoV-19/Colombia/VAC-CIGQS-8020669/2021	ncov	2021-07-31	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-205005457/2021	ncov	2021-08-03	South America	Colombia	Valle del Cauca	PALMIRA	B.1	G
hCoV-19/Colombia/VAC-SAD-134240458/2021	ncov	2021-09-02	South America	Colombia	Valle del Cauca	CALI	B.1.621	G
hCoV-19/Colombia/VAC-SAD-134240626/2021	ncov	2021-08-01	South America	Colombia	Valle del Cauca	JAMUNDI	P.1.15	GR
hCoV-19/Colombia/VAC-CS-21082702485/2021	ncov	2021-08-27	South America	Colombia	Valle del Cauca	CALI	B.1.621	GH
hCoV-19/Colombia/VAC-CS-21081202012/2021	ncov	2021-08-12	South America	Colombia	Valle del Cauca	PALMIRA	P.1	GR
hCoV-19/Colombia/VAC-SAD-205005442/2021	ncov	2021-08-03	South America	Colombia	Valle del Cauca	PALMIRA	C.37	GR
hCoV-19/Colombia/VAC-CS-21081102519/2021	ncov	2021-08-12	South America	Colombia	Valle del Cauca	CALI	B.1.621.1	GH
hCoV-19/Colombia/VAC-FVL-1107837104/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-1130600606/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/VAC-LADS-14983207/2021	ncov	2021-09-30	South America	Colombia	Valle Del Cauca	Cali	AY.26	GK
hCoV-19/Colombia/VAC-SAD-16362475/2021	ncov	2021-10-02	South America	Colombia	Valle Del Cauca	Tulua	AY.122	GK
hCoV-19/Colombia/VAC-CS-1114558691/2021	ncov	2021-09-29	South America	Colombia	Valle Del Cauca	Palmira	AY.44	GK
hCoV-19/Colombia/VAC-SAD-1144178941/2021	ncov	2021-10-06	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/QUI-LADS-10260290/2021	ncov	2021-10-01	South America	Colombia	Quindio	Armenia	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1144210381/2021	ncov	2021-09-29	South America	Colombia	Valle Del Cauca	Yumbo	AY.44	GK
hCoV-19/Colombia/VAC-I-16590860/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-UV-20030692/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-16799272/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca		BA.1	GRA
hCoV-19/Colombia/VAC-FVL-1151935644/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/VAC-UV-20030004/2021	ncov	2021-12-27	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-UV-20030005/2021	ncov	2021-12-27	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
